Customer Number,Customer,Customer Type,SegmentDesc,Region
10004245,Leading Brand,G2,Restaurant & Cafes,Pacific
10009676,Peerless Joint,G2,Convenience Stores,Americas
10012226,Optimum Chef,G2,Restaurant & Cafes,Pacific
10012425,Ultimate Chef,G2,Supermarkets,Europe
10015793,Top Eats,G2,Convenience Stores,Americas
10016588,Star Eats,G2,Convenience Stores,Americas
10017314,Top Fresh,G2,Alternative,Pacific
10017828,Record-Breaking Principle,G2,Bottle Shops,Europe
10021139,Unsurpassable Cupbpard,G3,Convenience Stores,Americas
10021485,Chief Kings,G2,Restaurant & Cafes,Europe
10022444,Foremost Minutemen,G2,Restaurant & Cafes,Europe
10022456,Greatest Eats,G2,Convenience Stores,Americas
10000466,Finest Product,G2,Convenience Stores,Americas
10009643,Unrivaled Choice,G2,Supermarkets,Africa
10011398,Unbeatable Boys,G2,Convenience Stores,Americas
10017036,Star Products,G2,Supermarkets,Asia
10019900,Unbeatable Nutritious,G2,Convenience Stores,Americas
10021986,Prime Plate,G2,Convenience Stores,Europe
10024262,Unsurpassable Meals,G2,Convenience Stores,Americas
10025298,Star Booth,G3,Hotels & Clubs,Middle East
10025778,Prime Product,G2,Convenience Stores,Americas
10009631,Superlative Natural,G2,Convenience Stores,Americas
10020192,Unbeaten Natural,G2,Convenience Stores,Americas
10023023,Top Products,G2,Bottle Shops,Europe
10023212,Foremost Goods,G2,Hotels & Clubs,Americas
10024022,2Nd2None Nutritious,G2,Bottle Shops,Europe
10025034,Unbeatable King,G2,Supermarkets,Americas
10025251,Highest Blend,G2,Convenience Stores,Europe
10004256,Preeminent Brands,G2,Convenience Stores,Americas
10009656,Unsurpassable Kitchen,G2,Convenience Stores,Americas
10023275,Preeminent Principle,G2,Supermarkets,Americas
10026606,2Nd2None Tasting,G2,Restaurant & Cafes,Europe
10026843,Nonpareil Ever,G2,Hotels & Clubs,Americas
10019617,Optimal Landings,G2,Hotels & Clubs,Americas
10022240,Preeminent Corner,G3,Convenience Stores,Americas
10022434,Top Booth,G2,Supermarkets,Americas
10025814,Chief Goods,G2,Hotels & Clubs,Americas
10010970,Unbeaten House,G2,Supermarkets,Africa
10026062,Supreme Principle,G2,Convenience Stores,Europe
10000000,Highest Quality Source,G2,Convenience Stores,Americas
10014469,Ideal Plate,G2,Restaurant & Cafes,Europe
10014803,Highest Minutemen,G2,Convenience Stores,Americas
10016858,#1 Product,G2,Convenience Stores,Europe
10017054,Par Excellence Goods,G2,Hotels & Clubs,Americas
10025061,Surpassing Chef,G2,Supermarkets,Africa
10024541,Unparalleled Taste,G2,Supermarkets,Africa
10021204,Superlative House,G3,Bottle Shops,Europe
10025237,Incomparable Kings,G3,Restaurant & Cafes,Asia
10019109,Ultimate Foods,G2,Restaurant & Cafes,Europe
10013252,Surpassing Plate,G2,Restaurant & Cafes,Europe
10000458,Best Products,G2,Supermarkets,Africa
10007564,Principal Source,G2,Supermarkets,Africa
10024003,Superlative Source,G2,Restaurant & Cafes,Pacific
10025289,Top Box,G2,Supermarkets,Americas
10021184,2Nd2None King,G2,Convenience Stores,Americas
10025040,Optimal Boys,G2,Hotels & Clubs,Americas
10025552,#1 Eats,G2,Restaurant & Cafes,Pacific
10014495,Perfect Box,G2,Convenience Stores,Americas
10020446,Matchless Meals,G2,Convenience Stores,Europe
10023471,Premier Quality,G2,Convenience Stores,Americas
10023003,Greatest Product,G2,Convenience Stores,Americas
10009647,2Nd2None Natural,G2,Convenience Stores,Americas
10023785,Highest Quality Landings,G2,Convenience Stores,Europe
10014047,Incomparable Blend,G2,Supermarkets,Americas
10025769,Star Gardens,G2,Hotels & Clubs,Americas
10022423,Leading Box,G2,Convenience Stores,Europe
10022730,Finest International,G2,Supermarkets,Africa
10023489,Prime Brand,G2,Convenience Stores,Americas
10027629,Matchless Healty,G2,Restaurant & Cafes,Europe
10007355,Chief Ever,G2,Convenience Stores,Americas
10024725,Unbeaten Joint,G2,Convenience Stores,Americas
10018871,Incomparable Tasting,G2,Restaurant & Cafes,Europe
10025049,Ultimate Star,G2,Convenience Stores,Americas
10014810,Record-Breaking Box,G2,Restaurant & Cafes,Europe
10022750,Best Gardens,G2,Convenience Stores,Americas
10027560,Unsurpassable Landings,G2,Supermarkets,Americas
10012234,Optimal Kings,G2,Convenience Stores,Americas
10019897,Unexcelled Healty,G2,Convenience Stores,Americas
10021422,Principal Chef,G2,Convenience Stores,Europe
10006846,Premier Brand,G2,Hotels & Clubs,Americas
10023235,Leading Fresh,G2,Restaurant & Cafes,Pacific
10024006,Unrivaled Healty,G2,Convenience Stores,Americas
10026299,Superlative Brand,G2,Convenience Stores,Americas
10018890,Surpassing Ever,G2,Hotels & Clubs,Americas
10025243,Perfect Plate,G2,Convenience Stores,Americas
10026560,Unrivaled Brands,G2,Restaurant & Cafes,Europe
10021223,Highest Quality Boys,G2,Restaurant & Cafes,Europe
10023778,Supreme Foods,G2,Convenience Stores,Americas
10025037,Unexcelled Point,G2,Supermarkets,Americas
10023538,Principal Ever,G2,Supermarkets,Asia
10018628,Perfect Brand,G2,Convenience Stores,Europe
10022168,Premier Blend,G2,Supermarkets,Asia
10025919,Principal Fresh,G2,Convenience Stores,Americas
10021412,Supreme Star,G2,Convenience Stores,Europe
10024248,Nonpareil Natural,G2,Convenience Stores,Americas
10024270,Peerless Kitchen,G2,Supermarkets,Americas
10025791,First Products,G2,Convenience Stores,Americas
10007121,Prime Ever,G2,Convenience Stores,Americas
10018867,Ideal Brands,G2,Convenience Stores,Americas
10023513,Chief Tasting,G2,Convenience Stores,Americas
10025284,Record-Breaking Corner,G2,Convenience Stores,Americas
10000472,Greatest Fresh,G2,Hotels & Clubs,Americas
10009653,Nonpareil Kitchen,G3,Convenience Stores,Americas
10025575,#1  Food,G3,Convenience Stores,Americas
10019678,Optimum Source,G2,Convenience Stores,Americas
10021185,Unsurpassed Taste,G2,Supermarkets,Pacific
10010698,Matchless King,G2,Convenience Stores,Americas
10016564,Par Excellence International,G2,Convenience Stores,Americas
10000455,Supreme Healty,G2,Convenience Stores,Americas
10018580,Highest Quality,G2,Supermarkets,Africa
10026078,Highest Quality Quality,G2,Convenience Stores,Americas
10021179,Nonpareil Joint,G2,Supermarkets,Americas
10021673,First  Food,G2,Hotels & Clubs,Americas
10007122,First Foods,G2,Convenience Stores,Americas
10025291,Par Excellence Minutemen,G2,Convenience Stores,Americas
10025238,Ideal  Food,G2,Supermarkets,Americas
10002709,Foremost Fresh,G2,Hotels & Clubs,Americas
10000473,Top Principle,G2,Convenience Stores,Americas
10021203,Unrivaled Point,G2,Restaurant & Cafes,Europe
10011724,Unexcelled House,G3,Restaurant & Cafes,Asia
10025039,Optimum House,G2,Supermarkets,Asia
10024499,Matchless Cupbpard,G2,Convenience Stores,Americas
10009654,Unsurpassed Cupbpard,G2,Convenience Stores,Americas
10020909,Peerless Kitchen,G2,Restaurant & Cafes,Europe
10027575,Peerless Source,G2,Hotels & Clubs,Americas
10027356,Unsurpassed Foods,G2,Hotels & Clubs,Americas
10020390,Unparalleled Choice,G2,Hotels & Clubs,Americas
10010904,Unparalleled Joint,G2,Hotels & Clubs,Americas
10023510,First Brands,G2,Hotels & Clubs,Americas
10024255,Unsurpassed Choice,G2,Restaurant & Cafes,Europe
-,-,-,-,Americas
-,-,-,-,Africa
-,-,-,-,Pacific
-,-,-,-,Asia
-,-,-,-,Europe
-,-,-,-,Middle East
